Time,Cloud
2023/4/28 10:18,0.78
2023/4/28 10:18,0.63
2023/4/28 10:10,0.06
2023/4/28 09:40,0.04
2023/4/28 09:40,0
2023/4/29 10:12,0.1
2023/4/29 10:12,0.25
2023/4/29 09:38,0.01
2023/4/30 10:03,0.99
2023/4/30 10:03,1
2023/4/30 09:43,0.8
2023/4/30 09:43,0.99
2023/4/30 09:30,0.98
2023/5/1 10:11,0.21
2023/5/1 10:11,0.01
2023/5/1 09:39,0.14
2023/5/1 09:39,0.1
2023/5/1 09:38,0.63
2023/5/1 09:38,0.33
2023/5/2 09:59,0
2023/5/2 09:59,0
2023/5/2 09:35,0
2023/5/2 09:35,0
2023/5/2 09:35,0
2023/5/3 10:13,0.14
2023/5/3 10:12,0.8
2023/5/3 10:12,0.75
2023/5/3 09:38,0.37
2023/5/3 09:38,0.21
